x y w logw
0.77937047 0.36039202 2.182551e-03 -2.6610
0.22642204 0.31724380 2.013308e-03 -2.6961
0.77357796 0.68275620 2.013308e-03 -2.6961
0.65865590 0.73049144 2.129985e-03 -2.6716
0.34134410 0.26950856 2.129985e-03 -2.6716
0.31668125 0.75336574 2.202902e-03 -2.6570
0.68331875 0.24663426 2.202902e-03 -2.6570
0.26047671 0.66840776 2.311656e-03 -2.6361
0.73952329 0.33159224 2.311656e-03 -2.6361
0.24232595 0.35694758 1.461742e-03 -2.8351
0.75767405 0.64305242 1.461742e-03 -2.8351
0.69411555 0.81469234 1.982866e-03 -2.7027
0.30588445 0.18530766 1.982866e-03 -2.7027
0.24948653 0.75183538 1.944048e-03 -2.7113
0.75051347 0.24816462 1.944048e-03 -2.7113
0.23431221 0.70402721 5.349273e-04 -3.2717
0.76568779 0.29597279 5.349273e-04 -3.2717
0.20334038 0.27816130 1.987019e-03 -2.7018
0.79665962 0.72183870 1.987019e-03 -2.7018
0.53473580 0.80685515 1.910664e-03 -2.7188
0.46526420 0.19314485 1.910664e-03 -2.7188
0.40566101 0.80382037 1.914979e-03 -2.7178
0.59433899 0.19617963 1.914979e-03 -2.7178
0.19046984 0.52218341 2.199205e-03 -2.6577
0.80953016 0.47781659 2.199205e-03 -2.6577
0.19074062 0.44112529 2.129905e-03 -2.6716
0.80925938 0.55887471 2.129905e-03 -2.6716
0.60489456 0.80800545 1.733097e-03 -2.7612
0.39510544 0.19199455 1.733097e-03 -2.7612
0.37597514 0.82820315 1.685428e-03 -2.7733
0.62402486 0.17179685 1.685428e-03 -2.7733
0.19152115 0.59919763 2.174682e-03 -2.6626
0.80847885 0.40080237 2.174682e-03 -2.6626
0.16866728 0.39506523 2.106554e-03 -2.6764
0.83133272 0.60493477 2.106554e-03 -2.6764
0.64624742 0.78826270 1.714031e-03 -2.7660
0.35375258 0.21173730 1.714031e-03 -2.7660
0.35006931 0.78880696 2.106367e-03 -2.6765
0.64993069 0.21119304 2.106367e-03 -2.6765
0.24913297 0.60518942 2.192920e-03 -2.6590
0.75086703 0.39481058 2.192920e-03 -2.6590
0.19826090 0.35904633 2.134273e-03 -2.6707
0.80173910 0.64095367 2.134273e-03 -2.6707
0.65661852 0.81953847 4.532533e-04 -3.3437
0.34338148 0.18046153 4.532533e-04 -3.3437
0.31496948 0.81529043 1.815706e-03 -2.7410
0.68503052 0.18470957 1.815706e-03 -2.7410
0.19266060 0.67503927 2.032241e-03 -2.6920
0.80733940 0.32496073 2.032241e-03 -2.6920
0.17585715 0.31655805 1.984107e-03 -2.7024
0.82414285 0.68344195 1.984107e-03 -2.7024
0.73148616 0.78738345 2.027240e-03 -2.6931
0.26851384 0.21261655 2.027240e-03 -2.6931
0.25269609 0.81167842 1.761022e-03 -2.7542
0.74730391 0.18832158 1.761022e-03 -2.7542
0.22170295 0.78097339 1.729133e-03 -2.7622
0.77829705 0.21902661 1.729133e-03 -2.7622
0.15107895 0.28146018 1.520573e-03 -2.8180
0.84892105 0.71853982 1.520573e-03 -2.8180
0.50015025 0.83733952 1.495408e-03 -2.8252
0.49984975 0.16266048 1.495408e-03 -2.8252
0.43534776 0.84052528 2.017536e-03 -2.6952
0.56465224 0.15947472 2.017536e-03 -2.6952
0.16318747 0.55935342 2.086642e-03 -2.6806
0.83681253 0.44064658 2.086642e-03 -2.6806
0.14168839 0.43365919 2.020193e-03 -2.6946
0.85831161 0.56634081 2.020193e-03 -2.6946
0.56314583 0.83127577 1.550220e-03 -2.8096
0.43685417 0.16872423 1.550220e-03 -2.8096
0.38809489 0.84802291 2.069105e-04 -3.6842
0.61190511 0.15197709 2.069105e-04 -3.6842
0.16149993 0.63192955 1.235212e-03 -2.9083
