x y w logw
4.66765561 1.90623849 3.964778e-07 -6.4018
4.64344811 2.85443115 4.072434e-08 -7.3901
4.84104241 3.79448950 1.090221e-09 -8.9625
4.76070192 4.94978476 8.895065e-12 -11.0509
5.65410880 -4.37944960 2.215192e-12 -11.6546
6.23408528 -3.13231314 7.567533e-12 -11.1210
5.76469051 -2.13169929 8.510435e-10 -9.0700
5.94215241 -1.17286999 1.753879e-09 -8.7560
5.82506005 -0.16239934 6.292622e-09 -8.2012
5.71974286 0.71390021 9.158772e-09 -8.0382
5.70840083 1.71763402 3.313759e-09 -8.4797
5.46374270 2.68330457 1.322431e-09 -8.8786
6.10681706 3.53569269 3.962515e-12 -11.4020
5.69266073 4.76770533 2.691462e-13 -12.5700
7.01112534 -1.81638120 1.304540e-12 -11.8845
6.97218023 -0.35213079 7.296810e-12 -11.1369
6.86609725 0.96467348 1.000979e-11 -10.9996
6.78617328 2.32696502 1.962605e-12 -11.7072
